ReviewText,ExpressionType,TrueSentiment,Notes
"This customer service was marvelous. I only had to wait two hours for a five-minute question.",Sarcasm,Negative,"Positive language used to express strong negative feedback."
"Oh, great, another update that breaks the one feature I actually use.",Sarcasm,Negative,"Exaggerated positive response to a negative event."
"I absolutely love paying extra fees for services I didn't ask for. Thanks!",Sarcasm,Negative,"False enthusiasm for an unpleasant action."
"The instructions were so clear I only had to consult three separate external forums to figure it out.",Sarcasm,Negative,"Positive descriptor ('clear') used sarcastically."
"After using this product, my life has completely changed... for the worse.",Direct,Negative,"Direct negative statement."
"The battery life is unbelievable! It died before I even finished the setup process.",Sarcasm,Negative,"Exclamatory positive word ('unbelievable') used to emphasize poor performance."
"The free 'gift' they sent was literally a handful of packing peanuts. How generous!",Irony,Negative,"Irony based on the discrepancy between expectation (a gift) and reality."
"I asked for a quiet room, and they put me next to the construction site. Well, that's just perfect.",Irony,Negative,"Situational irony/sarcasm combined. Expectation vs. reality."
"This cafe has a policy against open laptops, which is deeply ironic considering it has 'digital' in its name.",Irony,Neutral,"Observational irony; the sentiment is about the situation, not the quality of the cafe itself."
"The quality exceeded my expectations. A genuinely brilliant purchase.",Direct,Positive,"Direct positive statement."
"The movie dragged a bit, but the visuals were undeniably stunning.",Direct,Neutral,"Mixed but balanced sentiment."
"I was told the repair would take two days. Three weeks later, I'm still waiting. So speedy!",Sarcasm,Negative,"Sarcasm based on time expectation failure."
"The security update was great because it finally allowed a hacker to access my account. The irony!",Irony,Negative,"Tragic/situational irony where the intent (security) produced the opposite result."
"The user interface is intuitive and easy to navigate. Top marks!",Direct,Positive,"Direct positive statement."
"I hate the software installation. It's the worst product I've ever owned. Total waste.",Direct,Negative,"Direct negative review for the software installation."
"The delivery guy is absolutely amazing. A genuinely brilliant purchase.",Direct,Positive,"Direct positive review for the delivery guy."
"I'm so glad I spent money on the hotel room. It was a superb waste of time because it crashes every 5 minutes.",Sarcasm,Negative,"Sarcasm on hotel room using positive word 'superb'."
"The website's search feature is absolutely perfect! (It means it's impossible to understand.)",Sarcasm,Negative,"Sarcasm on the website's search feature using positive word 'absolutely perfect'."
"I bought the 'waterproof' new headphones. It stopped working after the first drop of rain. it broke immediately after opening the box.",Irony,Negative,"Situational Irony involving my new headphones and a failed expectation."
"The delivery guy was fantastic. I only had to wait two hours for a five-minute question.",Sarcasm,Negative,"Sarcasm on the delivery guy using positive word 'fantastic'."
"I would highly recommend the hotel room. It exceeded my expectations.",Direct,Positive,"Direct positive review for the hotel room."
"I hate this tutorial video. It's the worst product I've ever owned. Total waste.",Direct,Negative,"Direct negative review for the tutorial video."
"Oh, outstanding! Another feature of the software installation that ensures they charged me twice.",Sarcasm,Negative,"Sarcasm on the software installation using positive word 'outstanding'."
"The 'express' shipping for my new headphones took 10 days. The irony!",Irony,Negative,"Situational Irony involving my new headphones and a failed expectation."
"The new app update is absolutely amazing. A genuinely brilliant purchase.",Direct,Positive,"Direct positive review for the new app update."
